,Date,headline,sentiment_mean,sentiment_pos,sentiment_neg
0,2018-01-24 08:00:00,Apple announces effortless solution bringing health records to iPhone - Apple,0.5574,0.18,0.0
1,2018-04-09 07:00:00,Apple now globally powered by 100 percent renewable energy - Apple,0.2732,0.087,0.0
2,2018-04-19 07:00:00,Apple adds Earth Day donations to trade-in and recycling program - Apple,0.0,0.0,0.0
3,2018-07-05 07:00:00,The App Store turns 10 - Apple,0.0,0.0,0.0
4,2018-07-12 07:00:00,Apple updates MacBook Pro with faster performance and new features for pros - Apple,0.0,0.0,0.0
5,2019-06-03 07:00:00,Apple previews iOS 13 - Apple,0.0,0.0,0.0
6,2019-06-27 07:00:00,Jony Ive to form independent design company with Apple as client - Apple,0.0,0.0,0.0
7,2019-08-20 07:00:00,Apple Card launches today for all US customers - Apple,0.0,0.0,0.0
8,2019-09-10 07:00:00,"Apple TV+ launches November 1, featuring originals from the world’s greatest storytellers - Apple",0.8555,0.237,0.0
9,2019-11-13 08:00:00,"Apple introduces 16-inch MacBook Pro, the world’s best pro notebook - Apple",0.8555,0.268,0.0
10,2020-03-13 07:00:00,Apple’s WWDC 2020 kicks off in June with an all-new online format - Apple,0.0,0.0,0.0
11,2020-03-18 07:00:00,Apple unveils new iPad Pro with LiDAR Scanner and trackpad support in iPadOS - Apple,0.6597,0.157,0.0
12,2020-03-27 07:00:00,Apple releases new COVID-19 app and website based on CDC guidance - Apple,0.0,0.0,0.0
13,2020-04-10 07:00:00,Apple and Google partner on COVID-19 contact tracing technology - Apple,0.0,0.0,0.0
14,2020-04-15 07:00:00,iPhone SE: A powerful new smartphone in a popular design - Apple,0.8807,0.348,0.0
15,2020-06-22 07:00:00,Apple announces Mac transition to Apple silicon - Apple,0.0,0.0,0.0
16,2020-07-21 07:00:00,Apple commits to be 100 percent carbon neutral for its supply chain and products by 2030 - Apple,0.0516,0.059,0.0
17,2020-08-04 07:00:00,Phil Schiller advances to Apple Fellow - Apple,0.0,0.0,0.0
18,2020-09-07 07:00:00,Apple Marina Bay Sands opens Thursday in Singapore - Apple,0.0,0.0,0.0
19,2020-09-15 07:00:00,Apple One makes enjoying Apple subscription services easier than ever - Apple,0.9081,0.371,0.0
20,2020-11-10 08:00:00,Introducing the next generation of Mac - Apple,0.0,0.0,0.0
21,2020-11-10 08:00:00,Apple unleashes M1 - Apple,0.0,0.0,0.0
22,2020-11-18 08:00:00,Apple announces App Store Small Business Program - Apple,0.0,0.0,0.0
23,2020-12-01 08:00:00,Apple presents App Store Best of 2020 winners - Apple,0.91,0.39,0.0
24,2021-01-13 08:00:00,"Apple launches major new Racial Equity and Justice Initiative projects to challenge systemic racism, advance racial equity nationwide - Apple",-0.2023,0.179,0.156
25,2021-01-27 08:00:00,Data Privacy Day at Apple: Improving transparency and empowering users - Apple,0.6808,0.196,0.0
26,2021-04-02 07:00:00,Apple Arcade expands its award-winning catalog to more than 180 games - Apple,0.2023,0.101,0.0
27,2021-04-07 07:00:00,Apple’s Find My network now offers new third-party finding experiences - Apple,0.0,0.0,0.0
28,2021-04-20 07:00:00,Apple leads the next chapter of podcasting with Apple Podcasts Subscriptions - Apple,0.0,0.0,0.0
29,2021-05-17 07:00:00,Apple Music announces Spatial Audio and Lossless Audio - Apple,0.0,0.0,0.0
30,2021-05-19 07:00:00,Apple previews powerful software updates designed for people with disabilities - Apple,0.6808,0.196,0.0
31,2021-06-07 07:00:00,"iOS 15 brings powerful new features to stay connected, focus, explore, and more - Apple",0.6808,0.162,0.0
32,2021-11-17 08:00:00,Apple announces Self Service Repair - Apple,0.0,0.0,0.0
